Phase,Goal,Status,Exit Gate,Blocking Decisions,Source
"Phase 0","Stabilize the live supervised system","Current","5 consecutive trading days with no missed critical job, ambiguous fill, manual ledger repair, hidden failure, or unsafe client exposure; 3 genuine actionable proposals; 1 evaluator approval; every holding monitored; health/dashboard/logs/reconciliation agree. This proves supervised workflow readiness, not investment performance or new trading authority.","Fresh observation evidence; dashboard production version confirmation","docs/AUTONOMY-ROADMAP.md"
"Phase 1","Trusted-mandate integration and proposal ownership","In progress","All incoming mandates written and testable; every BUY/SELL/fill traces to strategy and mandate version; Agent 4 cannot authorize unowned SELL, changed proposal, or self-originated trade; dashboard explains each decision.","Faithful runtime encoding and tests for trusted v3 mandates; unified compiler proof; service identity","docs/AUTONOMY-ROADMAP.md"
"Phase 2","One contract, one pipeline, one financial truth","In progress","No executable proposal bypasses the compiler; schema copies removed/generated; 30 days of zero unexplained broker/Postgres/Sheet differences; crash injection and clean restore prove no duplicate order/partial book.","Operate Neon dual-write/shadow-read migration and daily parity; canonical-read cutover separately reviewed","docs/AUTONOMY-ROADMAP.md"
"Phase 3","Portfolio-manager shadow coordination","Future","8–12 weeks plus 30 evaluator-graded actionable proposals and 10 filled trades; no ownership/accounting/reconciliation incidents; explainable Agent 4 shadow decisions aligned with limits.","Complete policies and evidence collection","docs/AUTONOMY-ROADMAP.md"
"Phase 4","Bounded Agent 4 autonomy","Future","Written policy/caps, observation window, rollback drill, and clean evidence at each permission increment.","Promotion decision by Sam after Phase 3 evidence","docs/AUTONOMY-ROADMAP.md"
"Phase 5","Outcome measurement and shadow autonomy","Future","Current-version evaluator/strategy/portfolio outcome evidence shows calibrated, benchmark-relative, risk-adjusted utility with no mandate or accounting incidents.","Sufficient samples and stable versioning","Vault autonomy roadmap"
"Phase 6","Graduated Agent 4 autonomy","Future","Each autonomy level has written promotion, capital cap, observation window, rollback test, and clean prior-level evidence.","Sam promotion authority","Vault autonomy roadmap"
"Phase 7","Verified track record","Future","6–12 months of signed, reconciled, per-strategy attributed and benchmark-relative performance after costs; externally reproducible methodology and records.","Sustained Phase 3–6 evidence","2026-07-12 PM Meta-Audit dev log"
"Phase 8","Legal structure and capital rules","Future","Legal/tax structure and entity brokerage path reviewed by qualified counsel/accountant; software is not the bottleneck.","Investment club vs entity structure; counsel/accountant","2026-07-12 PM Meta-Audit dev log"
"Phase 9","Operational scale","Future","Entity broker API, fund administration, routine disaster-recovery drills, and controlled investor onboarding/reporting.","Entity infrastructure and operational partners","2026-07-12 PM Meta-Audit dev log"
